Service date,Hour,Route,Direction,Scheduled stop arrivals,Deduped bunching episodes,actual_rate_per_100,predicted_rate_per_100,Risk decile,Validation split,baseline_predicted_rate_per_100,external_predicted_rate_per_100,Temperature,Wind speed,MVI active in prior 2 hours,MVI active in prior 4 hours,Local MVI street-name matches,KCM advisory observed,weather_observed,mvi_observed,kcm_observed
2026-07-22,0,161,0,42,0,0.0,0.008867308707397565,2,Train,0.008867308707397565,0.007775353716685623,,,,,0.0,,0,1,0
2026-07-22,0,161,1,40,0,0.0,0.008813696151097762,2,Train,0.008813696151097762,0.0076927648337338506,,,,,0.0,,0,1,0
2026-07-22,0,160,0,64,0,0.0,0.007808624003663324,2,Train,0.007808624003663324,0.00673243081605307,,,,,0.0,,0,1,0
2026-07-22,0,160,1,52,0,0.0,0.005732772833067638,2,Train,0.005732772833067638,0.0048954498906983316,,,,,0.0,,0,1,0
2026-07-22,0,H Line,0,75,0,0.0,0.10264365792254646,7,Train,0.10264365792254646,0.08946180658378718,,,,,0.0,,0,1,0
2026-07-22,0,H Line,1,80,0,0.0,0.12656957401587104,8,Train,0.12656957401587104,0.1101975547974277,,,,,0.0,,0,1,0
2026-07-22,0,365,0,5,0,0.0,8.071169444354928e-05,1,Train,8.071169444354928e-05,6.637778167781078e-05,,,,,0.0,,0,1,0
2026-07-22,0,365,1,9,0,0.0,0.0002365461692873272,1,Train,0.0002365461692873272,0.0001971185303111141,,,,,0.0,,0,1,0
2026-07-22,0,G Line,1,85,0,0.0,0.2195783559049422,9,Train,0.2195783559049422,0.19080734747238612,,,,,0.0,,0,1,0
2026-07-22,0,333,0,27,0,0.0,0.0007829453911098525,1,Train,0.0007829453911098525,0.0006633603691762852,,,,,0.0,,0,1,0
2026-07-22,0,333,1,36,0,0.0,0.0014639417774869434,1,Train,0.0014639417774869434,0.0012475403417450534,,,,,0.0,,0,1,0
2026-07-22,0,61,0,52,0,0.0,0.04756844871621256,6,Train,0.04756844871621256,0.04174136535757507,,,,,0.0,,0,1,0
